title,text,text_clean,source,url,published_at,date_collected,word_count,sentiment_compound,sentiment_label,sentiment_pos,sentiment_neg,sentiment_neu
New AI breakthrough announced by researchers,This is sample article text about new ai breakthrough announced by researchers. This is sample article text about new ai breakthrough announced by researchers. This is sample article text about new ai breakthrough announced by researchers. This is sample article text about new ai breakthrough announced by researchers. This is sample article text about new ai breakthrough announced by researchers. This is sample article text about new ai breakthrough announced by researchers. This is sample article text about new ai breakthrough announced by researchers. This is sample article text about new ai breakthrough announced by researchers. This is sample article text about new ai breakthrough announced by researchers. This is sample article text about new ai breakthrough announced by researchers. ,sample article text new ai breakthrough announced by researchers,Wired,https://example.com/article-0,2025-01-15,2025-01-16,100,0.8581071604484287,positive,0.2984250789732435,0.13374982585607734,0.5299924747454009
Climate change talks reach historic agreement,This is sample article text about climate change talks reach historic agreement. This is sample article text about climate change talks reach historic agreement. This is sample article text about climate change talks reach historic agreement. This is sample article text about climate change talks reach historic agreement. This is sample article text about climate change talks reach historic agreement. This is sample article text about climate change talks reach historic agreement. This is sample article text about climate change talks reach historic agreement. This is sample article text about climate change talks reach historic agreement. This is sample article text about climate change talks reach historic agreement. This is sample article text about climate change talks reach historic agreement. ,sample article text climate change talks reach historic agreement,Wired,https://example.com/article-1,2025-01-15,2025-01-16,63,0.33365231946816853,positive,0.32544423647442644,0.016923473708130077,0.7165996316800475
Stock market shows mixed signals amid uncertainty,This is sample article text about stock market shows mixed signals amid uncertainty. This is sample article text about stock market shows mixed signals amid uncertainty. This is sample article text about stock market shows mixed signals amid uncertainty. This is sample article text about stock market shows mixed signals amid uncertainty. This is sample article text about stock market shows mixed signals amid uncertainty. This is sample article text about stock market shows mixed signals amid uncertainty. This is sample article text about stock market shows mixed signals amid uncertainty. This is sample article text about stock market shows mixed signals amid uncertainty. This is sample article text about stock market shows mixed signals amid uncertainty. This is sample article text about stock market shows mixed signals amid uncertainty. ,sample article text stock market shows mixed signals amid uncertainty,NPR,https://example.com/article-2,2025-01-15,2025-01-16,72,-0.8993380490351378,negative,0.15212112147976886,0.15742692948967135,0.6295835055926348
Tech giant announces major product launch,This is sample article text about tech giant announces major product launch. This is sample article text about tech giant announces major product launch. This is sample article text about tech giant announces major product launch. This is sample article text about tech giant announces major product launch. This is sample article text about tech giant announces major product launch. This is sample article text about tech giant announces major product launch. This is sample article text about tech giant announces major product launch. This is sample article text about tech giant announces major product launch. This is sample article text about tech giant announces major product launch. This is sample article text about tech giant announces major product launch. ,sample article text tech giant announces major product launch,MSNBC,https://example.com/article-3,2025-01-15,2025-01-16,131,0.5700749605140226,positive,0.4868777594207296,0.06983140212909127,0.5271819303598463
Scientists discover potential cancer treatment,This is sample article text about scientists discover potential cancer treatment. This is sample article text about scientists discover potential cancer treatment. This is sample article text about scientists discover potential cancer treatment. This is sample article text about scientists discover potential cancer treatment. This is sample article text about scientists discover potential cancer treatment. This is sample article text about scientists discover potential cancer treatment. This is sample article text about scientists discover potential cancer treatment. This is sample article text about scientists discover potential cancer treatment. This is sample article text about scientists discover potential cancer treatment. This is sample article text about scientists discover potential cancer treatment. ,sample article text scientists discover potential cancer treatment,The Guardian,https://example.com/article-4,2025-01-15,2025-01-16,103,0.3750926925770883,positive,0.23338144662398996,0.25798212202089615,0.704092261576334
Political tensions rise over trade negotiations,This is sample article text about political tensions rise over trade negotiations. This is sample article text about political tensions rise over trade negotiations. This is sample article text about political tensions rise over trade negotiations. This is sample article text about political tensions rise over trade negotiations. This is sample article text about political tensions rise over trade negotiations. This is sample article text about political tensions rise over trade negotiations. This is sample article text about political tensions rise over trade negotiations. This is sample article text about political tensions rise over trade negotiations. This is sample article text about political tensions rise over trade negotiations. This is sample article text about political tensions rise over trade negotiations. ,sample article text political tensions rise over trade negotiations,Fox News,https://example.com/article-5,2025-01-15,2025-01-16,99,0.06127521698588655,positive,0.28164410892276964,0.11562495076197482,0.5047898756660643
Renewable energy costs continue to fall,This is sample article text about renewable energy costs continue to fall. This is sample article text about renewable energy costs continue to fall. This is sample article text about renewable energy costs continue to fall. This is sample article text about renewable energy costs continue to fall. This is sample article text about renewable energy costs continue to fall. This is sample article text about renewable energy costs continue to fall. This is sample article text about renewable energy costs continue to fall. This is sample article text about renewable energy costs continue to fall. This is sample article text about renewable energy costs continue to fall. This is sample article text about renewable energy costs continue to fall. ,sample article text renewable energy costs continue to fall,The Verge,https://example.com/article-6,2025-01-15,2025-01-16,83,0.25487164612210994,positive,0.2475884550556351,0.010316556334565519,0.7727961206236347
Space exploration mission achieves milestone,This is sample article text about space exploration mission achieves milestone. This is sample article text about space exploration mission achieves milestone. This is sample article text about space exploration mission achieves milestone. This is sample article text about space exploration mission achieves milestone. This is sample article text about space exploration mission achieves milestone. This is sample article text about space exploration mission achieves milestone. This is sample article text about space exploration mission achieves milestone. This is sample article text about space exploration mission achieves milestone. This is sample article text about space exploration mission achieves milestone. This is sample article text about space exploration mission achieves milestone. ,sample article text space exploration mission achieves milestone,CNN,https://example.com/article-7,2025-01-15,2025-01-16,45,0.6131439417008847,positive,0.10397083143409441,0.17031009834599745,0.5093939877366676
Economic indicators suggest steady growth,This is sample article text about economic indicators suggest steady growth. This is sample article text about economic indicators suggest steady growth. This is sample article text about economic indicators suggest steady growth. This is sample article text about economic indicators suggest steady growth. This is sample article text about economic indicators suggest steady growth. This is sample article text about economic indicators suggest steady growth. This is sample article text about economic indicators suggest steady growth. This is sample article text about economic indicators suggest steady growth. This is sample article text about economic indicators suggest steady growth. This is sample article text about economic indicators suggest steady growth. ,sample article text economic indicators suggest steady growth,MSNBC,https://example.com/article-8,2025-01-15,2025-01-16,101,-0.5177089866356992,negative,0.4633294328968971,0.21818159875692625,0.5979622306417506
Social media platform faces privacy concerns,This is sample article text about social media platform faces privacy concerns. This is sample article text about social media platform faces privacy concerns. This is sample article text about social media platform faces privacy concerns. This is sample article text about social media platform faces privacy concerns. This is sample article text about social media platform faces privacy concerns. This is sample article text about social media platform faces privacy concerns. This is sample article text about social media platform faces privacy concerns. This is sample article text about social media platform faces privacy concerns. This is sample article text about social media platform faces privacy concerns. This is sample article text about social media platform faces privacy concerns. ,sample article text social media platform faces privacy concerns,Wired,https://example.com/article-9,2025-01-15,2025-01-16,124,0.4927091210219501,positive,0.194338644844741,0.08140470953216877,0.7486212527455789
